Date,Open,High,Low,Close,Adj Close,Volume,Price,daily_return,sma20,price_vs_sma20,sma50,price_vs_sma50,sma100,price_vs_sma100,sma200,price_vs_sma200,ath,current_drawdown,high_252d,drawdown_from_252d_high,drawdown_percentile,rsi14,volume_sma20,volume_sma50,volume_ratio_20,volume_ratio_50,abnormal_volume_1_5x,abnormal_volume_2_0x,return_5d,return_20d,return_60d,return_120d,return_252d,volatility_20d,volatility_60d,volatility_60d_percentile
2023-08-28,18270.0,18594.0,18270.0,18530.80078125,17945.01953125,22053,17945.01953125,,,,,,,,,,17945.01953125,0.0,,,0.9401881720430108,,,,,,False,False,,,,,,,,
2023-08-29,18569.94921875,18670.44921875,18472.05078125,18628.75,18039.869140625,26259,18039.869140625,0.005285567352536269,,,,,,,,,18039.869140625,0.0,,,0.9401881720430108,,,,,,False,False,,,,,,,,
2023-08-30,18630.0,18745.0,18531.0,18626.44921875,18037.640625,22726,18037.640625,-0.00012353280434729275,,,,,,,,,18039.869140625,-0.00012353280434729275,,,0.8776881720430108,,,,,,False,False,,,,,,,,
2023-08-31,18579.0,18685.25,18505.099609375,18573.849609375,17986.705078125,21914,17986.705078125,-0.0028238475271762375,,,,,,,,,18039.869140625,-0.002947031493719443,,,0.8629032258064516,,,,,,False,False,,,,,,,,
2023-09-01,18599.0,19048.94921875,18507.150390625,18986.80078125,18386.6015625,24442,18386.6015625,0.02223289271926432,,,,,,,,,18386.6015625,0.0,,,0.9401881720430108,,,,,,False,False,,,,,,,,
2023-09-04,18986.80078125,19190.0,18844.69921875,19066.80078125,18464.07421875,20109,18464.07421875,0.004213538645880366,,,,,,,,,18464.07421875,0.0,,,0.9401881720430108,,,,,,False,False,0.028924721235109363,,,,,,,
2023-09-05,19066.80078125,19255.0,18999.44921875,19150.80078125,18545.41796875,20402,18545.41796875,0.004405514678737399,,,,,,,,,18545.41796875,0.0,,,0.9401881720430108,,,,,,False,False,0.02802397424194858,,,,,,,
2023-09-06,19160.0,19329.05078125,19091.05078125,19275.150390625,18665.8359375,14855,18665.8359375,0.00649313857217515,,,,,,,,,18665.8359375,0.0,,,0.9401881720430108,,,,,,False,False,0.03482691143260319,,,,,,,
2023-09-07,19275.150390625,19395.0,19171.0,19293.0,18683.123046875,11157,18683.123046875,0.0009261363612582674,,,,,,,,,18683.123046875,0.0,,,0.9401881720430108,,,,,,False,False,0.03871848488787233,,,,,,,
2023-09-08,19336.0,19425.0,19210.0,19403.25,18789.88671875,13230,18789.88671875,0.00571444461437931,,,,,,,,,18789.88671875,0.0,,,0.9401881720430108,,,,,,False,False,0.021933643086741617,,,,,,,
2023-09-11,19455.0,19499.900390625,19280.0,19444.5,18829.833984375,29532,18829.833984375,0.00212599821504722,,,,,,,,,18829.833984375,0.0,,,0.9401881720430108,,,,,,False,False,0.019809266432301076,,,,,,,
2023-09-12,19494.0,19497.94921875,18901.05078125,19160.349609375,18554.666015625,36608,18554.666015625,-0.01461340386635035,,,,,,,,,18829.833984375,-0.01461340386635035,,,0.7594086021505376,,,,,,False,False,0.0004986701777540681,,,,,,,
2023-09-13,19102.25,19435.0,19102.25,19362.099609375,18750.037109375,16344,18750.037109375,0.010529485876246802,,,,,,,,,18829.833984375,-0.004237789619718102,,,0.8454301075268817,,,,,,False,False,0.004510977818348749,,,,,,,
2023-09-14,19400.0,19749.94921875,19393.599609375,19489.75,18873.65234375,21565,18873.65234375,0.0065927994517511745,,,,,,,,,18873.65234375,0.0,,,0.9401881720430108,,,,,,False,False,0.010197936201403301,,,,,,,
2023-09-15,19550.75,19693.30078125,19456.150390625,19664.599609375,19042.9765625,25736,19042.9765625,0.008971460089762129,,,,,,,,,19042.9765625,0.0,,,0.9401881720430108,81.28758212131804,,,,,False,False,0.01346947150551192,,,,,,,
