Date,Open,High,Low,Close,Adj Close,Volume,Price,daily_return,sma20,price_vs_sma20,sma50,price_vs_sma50,sma100,price_vs_sma100,sma200,price_vs_sma200,ath,current_drawdown,high_252d,drawdown_from_252d_high,drawdown_percentile,rsi14,volume_sma20,volume_sma50,volume_ratio_20,volume_ratio_50,abnormal_volume_1_5x,abnormal_volume_2_0x,return_5d,return_20d,return_60d,return_120d,return_252d,volatility_20d,volatility_60d,volatility_60d_percentile
2023-08-28,1513.5,1514.0,1487.0,1499.9000244140625,1496.947021484375,1066459,1496.947021484375,,,,,,,,,,1496.947021484375,0.0,,,0.974496644295302,,,,,,False,False,,,,,,,,
2023-08-29,1509.8499755859375,1514.0,1497.25,1503.449951171875,1500.489990234375,1377001,1500.489990234375,0.0023667963522762125,,,,,,,,,1500.489990234375,0.0,,,0.974496644295302,,,,,,False,False,,,,,,,,
2023-08-30,1510.0,1518.8499755859375,1499.0,1501.5,1498.5439453125,700372,1498.5439453125,-0.0012969396227502372,,,,,,,,,1500.489990234375,-0.0012969396227502372,,,0.9422818791946309,,,,,,False,False,,,,,,,,
2023-08-31,1501.050048828125,1507.800048828125,1480.199951171875,1488.9000244140625,1485.96875,1542837,1485.96875,-0.008391609303040948,,,,,,,,,1500.489990234375,-0.00967766551518734,,,0.8993288590604027,,,,,,False,False,,,,,,,,
2023-09-01,1494.0,1518.699951171875,1487.3499755859375,1514.5,1511.518310546875,904596,1511.518310546875,0.017193874734495518,,,,,,,,,1511.518310546875,0.0,,,0.974496644295302,,,,,,False,False,,,,,,,,
2023-09-04,1521.0,1525.949951171875,1506.050048828125,1510.0999755859375,1507.126953125,685689,1507.126953125,-0.0029052624710091957,,,,,,,,,1511.518310546875,-0.0029052624710091957,,,0.9288590604026845,,,,,,False,False,0.006800462203752966,,,,,,,
2023-09-05,1512.0,1519.800048828125,1506.0,1510.449951171875,1507.47607421875,1298151,1507.47607421875,0.0002316467720426818,,,,,,,,,1511.518310546875,-0.002674288693639726,,,0.9302013422818792,,,,,,False,False,0.004655868436205912,,,,,,,
2023-09-06,1510.949951171875,1522.449951171875,1504.199951171875,1518.199951171875,1515.2108154296875,712220,1515.2108154296875,0.005130921374620234,,,,,,,,,1515.2108154296875,0.0,,,0.974496644295302,,,,,,False,False,0.011122042946636324,,,,,,,
2023-09-07,1524.800048828125,1524.800048828125,1510.0999755859375,1519.550048828125,1516.558349609375,647590,1516.558349609375,0.0008893377515295509,,,,,,,,,1516.558349609375,0.0,,,0.974496644295302,,,,,,False,False,0.020585627799625694,,,,,,,
2023-09-08,1530.0,1558.800048828125,1525.050048828125,1541.0,1537.966064453125,2168354,1537.966064453125,0.014115984953209315,,,,,,,,,1537.966064453125,0.0,,,0.974496644295302,,,,,,False,False,0.017497475036660992,,,,,,,
2023-09-11,1549.5,1552.0,1540.0,1549.699951171875,1546.64892578125,841557,1546.64892578125,0.00564567809967409,,,,,,,,,1546.64892578125,0.0,,,0.974496644295302,,,,,,False,False,0.026223386539734994,,,,,,,
2023-09-12,1558.9000244140625,1558.9000244140625,1527.6500244140625,1542.449951171875,1539.4132080078125,1444688,1539.4132080078125,-0.004678319463987335,,,,,,,,,1546.64892578125,-0.004678319463987335,,,0.9208053691275168,,,,,,False,False,0.021185831294612045,,,,,,,
2023-09-13,1542.0,1565.050048828125,1521.0,1552.800048828125,1549.742919921875,1193072,1549.742919921875,0.006710161937242498,,,,,,,,,1549.742919921875,0.0,,,0.974496644295302,,,,,,False,False,0.022790296994015913,,,,,,,
2023-09-14,1556.949951171875,1563.5999755859375,1541.199951171875,1550.9000244140625,1547.8466796875,920905,1547.8466796875,-0.0012235837376631808,,,,,,,,,1549.742919921875,-0.0012235837376631808,,,0.9449664429530201,,,,,,False,False,0.02063114161494939,,,,,,,
2023-09-15,1548.050048828125,1567.5999755859375,1531.300048828125,1538.0999755859375,1535.07177734375,3116428,1535.07177734375,-0.008253338338606753,,,,,,,,,1549.742919921875,-0.00946682342569738,,,0.9020134228187919,65.91666123061367,,,,,False,False,-0.0018818926998913632,,,,,,,
2023-09-18,1538.0999755859375,1565.3499755859375,1532.9000244140625,1559.949951171875,1556.8787841796875,1403635,1556.8787841796875,0.014205854838704512,,,,,,,,,1556.8787841796875,0.0,,,0.974496644295302,70.42662084347802,,,,,False,False,0.006614208452813575,,,,,,,
2023-09-20,1554.9000244140625,1568.199951171875,1545.0999755859375,1553.3499755859375,1550.291748046875,1076887,1550.291748046875,-0.004230924205369746,,,,,,,,,1556.8787841796875,-0.004230924205369746,,,0.9234899328859061,68.13565354885851,,,,,False,False,0.007066679681890342,,,,,,,
2023-09-21,1530.5,1552.25,1514.0,1526.199951171875,1523.195068359375,1772341,1523.195068359375,-0.01747843895940071,,,,,,,,,1556.8787841796875,-0.021635413214305066,,,0.8523489932885906,61.841171326906384,,,,,False,False,-0.017130487399702576,,,,,,,
2023-09-22,1528.0,1551.0,1524.9000244140625,1543.699951171875,1540.6607666015625,1321743,1540.6607666015625,0.011466488176724354,,,,,,,,,1556.8787841796875,-0.010417007247401244,,,0.8966442953020134,59.77237431016006,,,,,False,False,-0.004642522531616788,,,,,,,
2023-09-25,1549.699951171875,1591.0,1546.699951171875,1577.4000244140625,1574.29443359375,2962182,1574.29443359375,0.02183067662998761,1527.092529296875,0.030909655696245375,,,,,,,1574.29443359375,0.0,,,0.974496644295302,68.83038838300598,1357835.35,,2.181547269335711,,True,True,0.02555102427709932,,,,,,,
2023-09-26,1583.0,1583.0,1551.0,1567.699951171875,1564.613525390625,2472382,1564.613525390625,-0.006149363166473076,1530.4758544921874,0.02230526590683435,,,,,,,1574.29443359375,-0.006149363166473076,,,0.9167785234899329,65.22200642870988,1428131.5,,1.7312005232011198,,True,False,0.004968107529972565,0.045203005139855756,,,,0.1564569641357952,,
2023-09-27,1567.699951171875,1570.0,1554.199951171875,1565.75,1562.6673583984375,964400,1562.6673583984375,-0.0012438643541072825,1533.5847229003907,0.01896382708028299,,,,,,,1574.29443359375,-0.0073855785469371105,,,0.9140939597315436,63.045264009857334,1407501.45,,0.6851857950128577,,False,False,0.007982762191151238,0.04143804261856521,,,,0.15694814435728638,,
2023-09-28,1565.0,1574.949951171875,1535.050048828125,1539.699951171875,1536.6685791015625,831496,1536.6685791015625,-0.01663743672455087,1535.4909545898438,0.0007669367951654849,,,,,,,1574.29443359375,-0.023900138175739105,,,0.8416107382550335,54.86828908493552,1414057.65,,0.5880212875337862,,False,False,0.008845558275539789,0.025441118299078136,,,,0.17020994420534716,,
2023-09-29,1548.0,1552.949951171875,1532.050048828125,1540.25,1537.217529296875,1109857,1537.217529296875,0.0003572339558302051,1538.0533935546875,-0.0005434559432820896,,,,,,,1574.29443359375,-0.023551442160814284,,,0.8456375838926175,49.79843878810828,1392408.65,,0.7970770649837604,,False,False,-0.002234909448809219,0.03448846370213032,,,,0.1663851860579026,,
2023-10-03,1530.25,1564.199951171875,1527.0,1561.050048828125,1557.9765625,1083086,1557.9765625,0.013504291232367294,1540.3763061523437,0.011425945905140233,,,,,,,1574.29443359375,-0.010365196462328918,,,0.897986577181208,52.86397860812046,1401333.15,,0.7728968661021115,,False,False,-0.010365196462328918,0.030736148962903442,,,,0.16230814822024253,,
2023-10-04,1555.0,1555.8499755859375,1521.1500244140625,1532.550048828125,1529.53271484375,1614123,1529.53271484375,-0.01825691627260917,1541.4965942382812,-0.007761210397252305,,,,,,,1574.29443359375,-0.028432876210976232,,,0.8187919463087249,47.74385644704427,1447754.85,,1.1149145865406702,,False,False,-0.022421390316255008,0.014866539061153539,,,,0.17644705033292865,,
2023-10-05,1540.0,1556.0,1532.300048828125,1542.550048828125,1539.5130615234375,1153064,1539.5130615234375,0.006525095267875258,1543.0984436035155,-0.0023234953641099176,,,,,,,1574.29443359375,-0.022093308169117143,,,0.851006711409396,47.66034834435089,1440500.5,,0.8004606732173991,,False,False,-0.01481716294293789,0.021252070167210313,,,,0.17759016703741146,,
2023-10-06,1559.3499755859375,1640.699951171875,1551.050048828125,1634.6500244140625,1631.4317626953125,7384628,1631.4317626953125,0.059706347071142085,1548.909490966797,0.05327765903029413,,,,,,,1631.4317626953125,0.0,,,0.974496644295302,63.540794488831445,1774120.9,,4.16241531228227,,True,True,0.061667938605964645,0.07670282318613642,,,,0.27365300668743114,,
2023-10-09,1617.1500244140625,1628.0,1606.5999755859375,1621.550048828125,1618.3575439453125,1712235,1618.3575439453125,-0.008013953785232064,1553.9994506835938,0.04141448906781009,,,,,,,1631.4317626953125,-0.008013953785232064,,,0.9073825503355705,63.47923322052517,1827353.15,,0.9370027900737196,,False,False,0.052783690728241295,0.06712514184644336,,,,0.2767339398304462,,
2023-10-10,1630.0,1643.949951171875,1617.0,1633.0999755859375,1629.884765625,1453653,1629.884765625,0.007122790462968931,1558.5953857421875,0.04573950400146032,,,,,,,1631.4317626953125,-0.0009482450358553329,,,0.9476510067114094,62.2222049649457,1791618.1,,0.8113632029057978,,False,False,0.046154868343855515,0.059766404016567076,,,,0.2742427881355075,,
2023-10-11,1641.4000244140625,1650.949951171875,1633.5,1636.550048828125,1633.327880859375,952433,1633.327880859375,0.002112489979041454,1562.9293334960937,0.045042693776696785,,,,,,,1633.327880859375,0.0,,,0.974496644295302,64.04928294610468,1797161.9,,0.5299650521191218,,False,False,0.06786070347388962,0.05604307068867698,,,,0.2740851978633577,,
2023-10-12,1637.0,1642.949951171875,1622.8499755859375,1634.800048828125,1631.5814208984375,1052767,1631.5814208984375,-0.0010692647700464297,1567.537744140625,0.04085622626772745,,,,,,,1633.327880859375,-0.0010692647700464297,,,0.9463087248322147,70.05913133373306,1777565.85,,0.5922520394954707,,False,False,0.059803558460162165,0.05987230225853524,,,,0.27306463455834745,,
2023-10-13,1631.0,1649.0,1620.0,1646.550048828125,1643.3084716796875,1212989,1643.3084716796875,0.007187536356470847,1572.2160217285157,0.045217991019460335,,,,,,,1643.3084716796875,0.0,,,0.974496644295302,69.40935223834572,1778561.7,,0.6820055778779,,False,False,0.007279929970686272,0.06037488576655625,,,,0.2731547629098632,,
2023-10-16,1644.0,1649.4000244140625,1630.4000244140625,1642.3499755859375,1639.116455078125,859548,1639.116455078125,-0.0025509614742493802,1576.7795104980469,0.03953434463413852,,,,,,,1643.3084716796875,-0.0025509614742493802,,,0.9315436241610738,63.79269324035383,1775493.85,,0.48411770054849806,,False,False,0.01282714762907422,0.05896564342474275,,,,0.2734721420454902,,
2023-10-17,1649.9000244140625,1676.75,1645.550048828125,1657.6500244140625,1654.3863525390625,1689224,1654.3863525390625,0.009315932015464767,1582.7452392578125,0.045263831161383994,,,,,,,1654.3863525390625,0.0,,,0.974496644295302,68.65790845023612,1704133.65,,0.9912508916187414,,False,False,0.015032711165115398,0.07772573045526987,,,,0.2709772032705719,,
