Ticker,Date,Adj Close,Close,High,Low,Open,Volume
JPPOWER.NS,2026-04-20,19.079999923706055,19.079999923706055,19.440000534057617,18.75,19.299999237060547,98375618
JPPOWER.NS,2026-04-21,18.989999771118164,18.989999771118164,19.420000076293945,18.90999984741211,19.049999237060547,73866032
JPPOWER.NS,2026-04-22,20.1299991607666,20.1299991607666,20.399999618530273,18.920000076293945,18.959999084472656,226335685
JPPOWER.NS,2026-04-23,19.8799991607666,19.8799991607666,20.6200008392334,19.399999618530273,20.0,174608358
JPPOWER.NS,2026-04-24,19.290000915527344,19.290000915527344,20.030000686645508,18.670000076293945,20.0,137629768
JPPOWER.NS,2026-04-27,19.6299991607666,19.6299991607666,20.049999237060547,19.450000762939453,19.719999313354492,109318938
JPPOWER.NS,2026-04-28,19.950000762939453,19.950000762939453,20.219999313354492,19.600000381469727,19.68000030517578,102273487
JPPOWER.NS,2026-04-29,20.200000762939453,20.200000762939453,21.049999237060547,20.0,20.100000381469727,152084192
JPPOWER.NS,2026-04-30,19.719999313354492,19.719999313354492,20.149999618530273,19.520000457763672,20.139999389648438,85902693
JPPOWER.NS,2026-05-01,19.719999313354492,19.719999313354492,19.719999313354492,19.719999313354492,19.719999313354492,0
JPPOWER.NS,2026-05-04,19.059999465942383,19.059999465942383,20.350000381469727,17.100000381469727,19.950000762939453,184017906
JPPOWER.NS,2026-05-05,19.260000228881836,19.260000228881836,20.06999969482422,17.829999923706055,18.559999465942383,229162710
JPPOWER.NS,2026-05-06,19.309999465942383,19.309999465942383,19.649999618530273,18.93000030517578,19.5,115084002
JPPOWER.NS,2026-05-07,19.389999389648438,19.389999389648438,19.93000030517578,19.1200008392334,19.399999618530273,95901056
JPPOWER.NS,2026-05-08,19.079999923706055,19.079999923706055,19.420000076293945,19.0,19.299999237060547,54256190
JPPOWER.NS,2026-05-11,18.43000030517578,18.43000030517578,19.0,18.25,19.0,55783093
JPPOWER.NS,2026-05-12,17.520000457763672,17.520000457763672,18.34000015258789,17.3799991607666,18.200000762939453,66963239
JPPOWER.NS,2026-05-13,17.549999237060547,17.549999237060547,17.950000762939453,17.440000534057617,17.510000228881836,66824953
JPPOWER.NS,2026-05-14,17.860000610351562,17.860000610351562,18.040000915527344,17.200000762939453,17.799999237060547,71678457
JPPOWER.NS,2026-05-15,19.540000915527344,19.540000915527344,20.3799991607666,17.43000030517578,17.84000015258789,738085898
JPPOWER.NS,2026-05-18,19.049999237060547,19.049999237060547,19.31999969482422,18.600000381469727,19.200000762939453,153610194
JPPOWER.NS,2026-05-19,18.84000015258789,18.84000015258789,19.299999237060547,18.700000762939453,19.139999389648438,85322553
JPPOWER.NS,2026-05-20,18.309999465942383,18.309999465942383,19.100000381469727,18.200000762939453,18.600000381469727,85684742
JPPOWER.NS,2026-05-21,18.559999465942383,18.559999465942383,19.3799991607666,18.420000076293945,18.899999618530273,186605793
JPPOWER.NS,2026-05-22,18.760000228881836,18.760000228881836,18.93000030517578,18.6299991607666,18.790000915527344,61153759
JPPOWER.NS,2026-05-25,18.8799991607666,18.8799991607666,19.420000076293945,18.790000915527344,19.06999969482422,115033020
JPPOWER.NS,2026-05-26,19.1299991607666,19.1299991607666,19.59000015258789,18.90999984741211,18.950000762939453,170441621
JPPOWER.NS,2026-05-27,22.8700008392334,22.8700008392334,22.950000762939453,19.18000030517578,19.229999542236328,211829585
JPPOWER.NS,2026-05-28,22.8700008392334,22.8700008392334,22.8700008392334,22.8700008392334,22.8700008392334,0
JPPOWER.NS,2026-05-29,21.8700008392334,21.8700008392334,24.5,21.700000762939453,24.5,656884514
