Category,IndexName,IndexSymbol,DownloadSymbol,Date,Open,High,Low,Close,Adj Close,Volume
Nifty Pharma,Nifty Pharma,^CNXPHARMA,^CNXPHARMA,2021-01-01,12933.099609375,13045.5498046875,12875.5498046875,13001.9501953125,13001.9501953125,22979000.0
Nifty Pharma,Nifty Pharma,^CNXPHARMA,^CNXPHARMA,2021-01-04,13085.2998046875,13186.5498046875,13028.2001953125,13149.7998046875,13149.7998046875,33418000.0
Nifty Pharma,Nifty Pharma,^CNXPHARMA,^CNXPHARMA,2021-01-05,13148.0498046875,13247.0498046875,13073.0,13166.349609375,13166.349609375,27961000.0
Nifty Pharma,Nifty Pharma,^CNXPHARMA,^CNXPHARMA,2021-01-06,13181.0,13205.650390625,12965.650390625,13118.099609375,13118.099609375,24307000.0
Nifty Pharma,Nifty Pharma,^CNXPHARMA,^CNXPHARMA,2021-01-07,13168.4501953125,13200.25,13010.349609375,13060.75,13060.75,21168000.0
Nifty Pharma,Nifty Pharma,^CNXPHARMA,^CNXPHARMA,2021-01-08,13141.0,13298.150390625,13104.0498046875,13271.5498046875,13271.5498046875,32926000.0
Nifty Pharma,Nifty Pharma,^CNXPHARMA,^CNXPHARMA,2021-01-11,13315.4501953125,13423.7998046875,13222.7998046875,13412.349609375,13412.349609375,30583000.0
Nifty Pharma,Nifty Pharma,^CNXPHARMA,^CNXPHARMA,2021-01-12,13445.650390625,13476.7998046875,13220.0498046875,13244.7001953125,13244.7001953125,23360000.0
Nifty Pharma,Nifty Pharma,^CNXPHARMA,^CNXPHARMA,2021-01-13,13285.9501953125,13304.75,12994.25,13122.5498046875,13122.5498046875,24099000.0
Nifty Pharma,Nifty Pharma,^CNXPHARMA,^CNXPHARMA,2021-01-14,13140.400390625,13278.599609375,13020.2998046875,13232.5498046875,13232.5498046875,27373000.0
Nifty Pharma,Nifty Pharma,^CNXPHARMA,^CNXPHARMA,2021-01-15,13262.0498046875,13268.5498046875,12946.7998046875,13014.25,13014.25,29533000.0
Nifty Pharma,Nifty Pharma,^CNXPHARMA,^CNXPHARMA,2021-01-18,13000.7998046875,13013.4501953125,12592.7998046875,12653.5,12653.5,25807000.0
Nifty Pharma,Nifty Pharma,^CNXPHARMA,^CNXPHARMA,2021-01-19,12714.9501953125,12914.5,12699.2001953125,12866.0498046875,12866.0498046875,19727000.0
Nifty Pharma,Nifty Pharma,^CNXPHARMA,^CNXPHARMA,2021-01-20,12919.0,12992.900390625,12862.400390625,12881.2001953125,12881.2001953125,17929000.0
Nifty Pharma,Nifty Pharma,^CNXPHARMA,^CNXPHARMA,2021-01-21,12967.099609375,12967.099609375,12655.5498046875,12697.150390625,12697.150390625,20327000.0
