Category,IndexName,IndexSymbol,DownloadSymbol,Date,Open,High,Low,Close,Adj Close,Volume
Nifty Financial Services,Nifty Financial Services,^CNXFIN,FINIETF.NS,2025-02-03,26.0,26.0,25.010000228881836,25.540000915527344,25.540000915527344,241870.0
Nifty Financial Services,Nifty Financial Services,^CNXFIN,FINIETF.NS,2025-02-04,25.899999618530273,26.309999465942383,25.600000381469727,26.059999465942383,26.059999465942383,148401.0
Nifty Financial Services,Nifty Financial Services,^CNXFIN,FINIETF.NS,2025-02-05,26.229999542236328,26.420000076293945,26.100000381469727,26.31999969482422,26.31999969482422,382239.0
Nifty Financial Services,Nifty Financial Services,^CNXFIN,FINIETF.NS,2025-02-06,26.440000534057617,26.440000534057617,25.530000686645508,25.8700008392334,25.8700008392334,1875746.0
Nifty Financial Services,Nifty Financial Services,^CNXFIN,FINIETF.NS,2025-02-07,26.600000381469727,26.600000381469727,25.75,26.030000686645508,26.030000686645508,168407.0
Nifty Financial Services,Nifty Financial Services,^CNXFIN,FINIETF.NS,2025-02-10,26.5,26.5,25.479999542236328,25.639999389648438,25.639999389648438,69014.0
Nifty Financial Services,Nifty Financial Services,^CNXFIN,FINIETF.NS,2025-02-11,25.950000762939453,25.950000762939453,24.75,24.84000015258789,24.84000015258789,234724.0
Nifty Financial Services,Nifty Financial Services,^CNXFIN,FINIETF.NS,2025-02-12,26.0,26.0,24.239999771118164,25.09000015258789,25.09000015258789,207109.0
Nifty Financial Services,Nifty Financial Services,^CNXFIN,FINIETF.NS,2025-02-13,25.5,25.700000762939453,25.030000686645508,25.469999313354492,25.469999313354492,78742.0
Nifty Financial Services,Nifty Financial Services,^CNXFIN,FINIETF.NS,2025-02-14,25.469999313354492,25.889999389648438,24.81999969482422,25.049999237060547,25.049999237060547,169430.0
Nifty Financial Services,Nifty Financial Services,^CNXFIN,FINIETF.NS,2025-02-17,25.0,25.170000076293945,24.520000457763672,25.1299991607666,25.1299991607666,180850.0
Nifty Financial Services,Nifty Financial Services,^CNXFIN,FINIETF.NS,2025-02-18,25.1200008392334,25.260000228881836,24.809999465942383,25.09000015258789,25.09000015258789,77554.0
Nifty Financial Services,Nifty Financial Services,^CNXFIN,FINIETF.NS,2025-02-19,25.079999923706055,25.540000915527344,25.010000228881836,25.399999618530273,25.399999618530273,145789.0
