ticker,start_date,end_date,3y_cagr,median_rolling_1y_return,mean_rolling_1y_return,min_rolling_1y_return,max_rolling_1y_return,std_rolling_1y_return,positive_rolling_1y_ratio,rolling_1y_above_10pct_ratio,rolling_1y_above_15pct_ratio,rolling_1y_above_18pct_ratio,max_drawdown,median_drawdown,mean_drawdown,drawdown_count_10pct,drawdown_count_20pct,drawdown_count_30pct,avg_recovery_days,annualized_volatility,pct_days_above_sma50,pct_days_above_sma200,pct_days_sma50_above_sma200
ABB.NS,2023-08-28,2026-08-28,0.2191416096618004,0.10474476246360398,0.09768753348986951,-0.4053753284964088,1.1741086111778913,0.39346826806575264,0.5294117647058824,0.5010141987829615,0.4563894523326572,0.40973630831643004,-0.4749908156716117,-0.20468073786822105,-0.22418104680479545,10,8,6,9.176470588235293,0.3329672012031267,0.5503355704697986,0.3503355704697987,0.33422818791946307
ADANIENSOL.NS,2023-08-28,2026-08-28,0.22272929997126645,0.10303316888531144,0.1399955778363077,-0.450197669522464,1.050309758635306,0.39052787943054235,0.5233265720081136,0.5030425963488844,0.45841784989858014,0.4340770791075051,-0.5288974098156711,-0.1988315060119058,-0.20413965808863666,11,16,10,53.30769230769231,0.4800496835247789,0.5033557046979866,0.44563758389261743,0.49261744966442955
ADANIENT.NS,2023-08-28,2026-08-28,0.08665967083521342,-0.11947478587513638,-0.05927776766295178,-0.35740502760000814,0.3952098016405803,0.18993267717068363,0.31643002028397565,0.2657200811359026,0.22718052738336714,0.1926977687626775,-0.517081161369822,-0.253903029076362,-0.23282052823909383,5,5,11,13.416666666666666,0.3893761480911571,0.4590604026845638,0.2979865771812081,0.29395973154362415
ADANIGREEN.NS,2023-08-28,2026-08-28,0.10179593450406998,-0.16128730407555458,-0.041097970236579955,-0.6099621879074406,1.0965206183731921,0.45827418441455037,0.3995943204868154,0.3407707910750507,0.3204868154158215,0.31237322515212984,-0.628818444534607,-0.35654776875247685,-0.3181697414264247,14,2,4,18.76923076923077,0.49399529829065497,0.4791946308724832,0.3422818791946309,0.3516778523489933
ADANIPORTS.NS,2023-08-28,2026-08-28,0.28920224844696385,0.19681532436941884,0.19039598384385972,-0.2060014290657628,0.8668493838643048,0.2511743745256921,0.6937119675456389,0.5862068965517241,0.5476673427991886,0.5152129817444219,-0.33776689444510033,-0.08325772737793902,-0.10022895630450056,19,5,4,27.166666666666668,0.3381060361944046,0.5812080536912752,0.5261744966442953,0.5583892617449664
ADANIPOWER.NS,2023-08-28,2026-08-28,0.48923547924053756,0.31894707686896906,0.33206291492714124,-0.35608915565064636,1.2497288958354562,0.4228614010833833,0.640973630831643,0.6044624746450304,0.592292089249493,0.5780933062880325,-0.4995425852838964,-0.17112632201402767,-0.1927258594270439,13,10,2,42.4,0.4521138392968691,0.5610738255033557,0.5114093959731544,0.5234899328859061
AMBUJACEM.NS,2023-08-28,2026-08-28,-0.0169858306004933,-0.07968736084032146,-0.04040935011270175,-0.3099473946885324,0.4816286122612832,0.18371376264530087,0.3022312373225152,0.15212981744421908,0.1359026369168357,0.13184584178498987,-0.4290687062551315,-0.18071942634670002,-0.17441588974456654,8,10,4,10.235294117647058,0.2985219872345861,0.4174496644295302,0.26711409395973157,0.28187919463087246
APOLLOHOSP.NS,2023-08-28,2026-08-28,0.21987880260960346,0.14931180491832508,0.1653655777899279,-0.10322093066827243,0.5434992272529608,0.12007486708720068,0.9168356997971603,0.7261663286004056,0.49898580121703856,0.40365111561866124,-0.18497184447482018,-0.038097866106705736,-0.049501631882871946,11,0,0,15.357142857142858,0.21148481393080898,0.6604026845637584,0.6067114093959731,0.5771812080536913
ASIANPAINT.NS,2023-08-28,2026-08-28,-0.06145454828722785,-0.08858004487427518,-0.05604260341368362,-0.3297240796883638,0.2770150515144236,0.1680144198898003,0.40973630831643004,0.23732251521298176,0.17849898580121704,0.10547667342799188,-0.36872694619631263,-0.18753371311898093,-0.19381575869898635,8,10,8,61.5,0.21115395797546982,0.512751677852349,0.3610738255033557,0.35436241610738256
AXISBANK.NS,2023-08-28,2026-08-28,0.0859120363063357,0.07811011942651547,0.07986494348510648,-0.16073143554221248,0.44604249774476146,0.12572037429816,0.7058823529411765,0.4482758620689655,0.2616632860040568,0.18864097363083165,-0.2802702909410405,-0.07629240867519516,-0.08711549155534869,18,5,0,36.1875,0.2356362475545808,0.487248322147651,0.4966442953020134,0.548993288590604
BAJAJ-AUTO.NS,2023-08-28,2026-08-28,0.39472617216242667,0.1402902400866357,0.21087263767565473,-0.2992097535569296,1.6265311665914957,0.4026649717467168,0.6308316430020284,0.5557809330628803,0.486815415821501,0.44421906693711966,-0.42313526174411853,-0.19815068552450954,-0.17020199196516506,1,6,9,7.0,0.25475094803475884,0.6590604026845638,0.4684563758389262,0.508724832214765
BAJAJFINSV.NS,2023-08-28,2026-08-28,0.10173280476172386,0.12130585856629184,0.10702791438027039,-0.17291381722724264,0.35338819905191277,0.1386519607429359,0.744421906693712,0.5578093306288032,0.4462474645030426,0.3793103448275862,-0.25029864433825233,-0.06914292423675461,-0.08193952441829376,14,7,0,25.94736842105263,0.23603315996837335,0.5167785234899329,0.4912751677852349,0.4442953020134228
BAJAJHLDNG.NS,2023-08-28,2026-08-28,0.1735548502439801,0.29417110004404723,0.21742045561860263,-0.3030779549863606,0.8283080140945405,0.30182796682973834,0.6612576064908722,0.6085192697768763,0.5841784989858012,0.5618661257606491,-0.39480404881339026,-0.07866472572905758,-0.11181528561298983,21,5,4,16.96153846153846,0.3078569866295303,0.6013422818791946,0.47114093959731546,0.4778523489932886
BAJFINANCE.NS,2023-08-28,2026-08-28,0.1493664062424267,0.24767092283379855,0.200798616434634,-0.17162854931903238,0.6163307143894117,0.191024071375471,0.8032454361054767,0.6328600405679513,0.5943204868154158,0.5760649087221096,-0.26742220980962705,-0.09520430136137559,-0.09571101986308819,19,12,0,29.782608695652176,0.27298288887331595,0.5275167785234899,0.5060402684563758,0.47651006711409394
BANKBARODA.NS,2023-08-28,2026-08-28,0.11772355205272089,0.11421732411327046,0.11652869451783673,-0.2649807273847996,0.606737934683665,0.17561402842412785,0.7281947261663286,0.5294117647058824,0.4259634888438134,0.3509127789046653,-0.32184229306899326,-0.12041306216126146,-0.11401373361481315,17,11,1,22.192307692307693,0.3077341242971811,0.5140939597315436,0.4348993288590604,0.39865771812080536
BEL.NS,2023-08-28,2026-08-28,0.4620382425673182,0.42737349755896537,0.48031754993929027,-0.043677678140462195,1.306373631931391,0.3188873598291459,0.9756592292089249,0.8722109533468559,0.8600405679513184,0.8539553752535497,-0.2689641082907944,-0.06686917728060171,-0.07676891432551279,24,4,0,16.205882352941178,0.32173485997963264,0.5677852348993289,0.5771812080536913,0.6040268456375839
BHARTIARTL.NS,2023-08-28,2026-08-28,0.3045675073949481,0.3227058858180747,0.3303366000980355,-0.06730070645896913,0.9838717657719478,0.24758124566538678,0.920892494929006,0.7768762677484787,0.742393509127789,0.7119675456389453,-0.18768199925037032,-0.04004169134344404,-0.0532819265136542,14,0,0,11.75,0.21015063065033646,0.6939597315436241,0.5838926174496645,0.5785234899328859
BOSCHLTD.NS,2023-08-28,2026-08-28,0.3941739073682886,0.17526216543846096,0.2491190826981876,-0.14621478920714703,1.0928140587543607,0.2775241028867653,0.8861788617886179,0.6219512195121951,0.5650406504065041,0.49390243902439024,-0.32511168128682155,-0.06505579415983426,-0.08906285393484573,17,3,5,17.157894736842106,0.25659114601646765,0.6008064516129032,0.510752688172043,0.4905913978494624
BPCL.NS,2023-08-28,2026-08-28,0.28257287724663915,0.100519319639224,0.2322835781102371,-0.2047606425436994,1.2578393047599192,0.32844868147563416,0.7849898580121704,0.5030425963488844,0.4421906693711968,0.41379310344827586,-0.3458877962326887,-0.08540069413169682,-0.11032726884878472,14,13,5,20.22222222222222,0.3083207210609504,0.5798657718120805,0.43087248322147653,0.4590604026845638
