ticker,date,current_price,sma20,sma50,sma100,sma200,price_vs_sma20,price_vs_sma50,price_vs_sma100,price_vs_sma200,ath,current_drawdown,drawdown_from_252d_high,drawdown_percentile,rsi14,volume_ratio_20,volume_ratio_50,return_5d,return_20d,return_60d,return_120d,return_252d,volatility_20d,volatility_60d,trend_regime,volatility_regime,price_volume_regime
ABB.NS,2026-08-28,7509.0,7578.849194335938,7276.545771484375,7083.32849609375,6260.4545068359375,-0.009216332525542215,0.03194568354487326,0.060094841590503156,0.19943368197959854,8796.0849609375,-0.14632475318886873,-0.026070038910505855,0.6174496644295302,42.20743205768164,0.4042145224420694,0.30392165089823653,0.0114493534482758,0.04295408275755341,0.05997893749091454,0.2751311226319466,0.5190106577660818,0.21628302787046155,0.2699208626863488,UPTREND,LOW_VOLATILITY,normal
ADANIENSOL.NS,2026-08-28,1581.4000244140625,1598.9399963378905,1613.6320068359375,1507.7035046386718,1246.4302508544922,-0.010969749936833417,-0.019974803601644275,0.048879981739547995,0.26874329576799916,1741.5999755859375,-0.09198435543040129,-0.09198435543040129,0.785234899328859,42.936911608093716,0.7124221909110898,0.6780396123584033,0.025617743935771875,-0.038896316427849076,0.0015199647967463203,0.6113714948786817,1.0051987262524764,0.2611651094516503,0.27186093945429124,SIDEWAYS,LOW_VOLATILITY,low-volume correction
ADANIENT.NS,2026-08-28,3168.5,3037.765002441406,3071.1600048828127,2855.7233813476564,2503.464133300781,0.043036573748635565,0.03169486284088974,0.1095262309701508,0.26564625306709644,3640.392333984375,-0.12962677939382794,-0.013573704533075825,0.7463087248322148,73.35689112042678,0.4834000055739827,0.3680242685653482,0.05722389055722399,0.05283269646120625,0.039930697868331144,0.5855925858119488,0.3952098016405803,0.19319760789904192,0.24873001132435626,UPTREND,LOW_VOLATILITY,low-volume correction
ADANIGREEN.NS,2026-08-28,1311.0,1338.4150024414062,1432.3919946289063,1391.304998779297,1174.138249206543,-0.02048318525375048,-0.08474774718379774,-0.057719190867390635,0.11656357408162554,2070.550048828125,-0.36683491387132117,-0.182923028980991,0.487248322147651,39.04006451362887,0.5272473252049955,0.34894387130087906,-0.006818181818181834,-0.05206073752711493,-0.14072226390711107,0.5348591728945176,0.40778523489932894,0.21221347260433587,0.3066977203681017,CORRECTION,LOW_VOLATILITY,low-volume correction
ADANIPORTS.NS,2026-08-28,1707.5,1690.3749938964843,1758.8259936523436,1740.3529162597656,1599.1865832519532,0.010130891763868721,-0.029181962193861488,-0.01887715758845665,0.06773031857720513,1883.199951171875,-0.09329861710252307,-0.09329861710252307,0.4389261744966443,56.628317395180694,1.859866626638533,1.678986155036948,0.004411764705882337,0.006483937518420246,-0.06002837150135776,0.20642798530949258,0.3035548836618942,0.15384789555722025,0.2022482695572655,RECOVERY,LOW_VOLATILITY,high-volume decline
ADANIPOWER.NS,2026-08-28,212.6300048828125,207.76100006103516,214.9738006591797,217.81900085449217,181.86620056152344,0.023435605432910567,-0.010902704279220798,-0.023822512964082665,0.16915624907928928,248.91000366210935,-0.14575548690500306,-0.14575548690500306,0.574496644295302,53.57919509070863,0.8337456348157676,0.6067900385054827,0.03469588750760333,0.006246781219392039,-0.08585554899691494,0.5285026522168681,0.795558251736006,0.1928879703811467,0.26017865101557336,RECOVERY,LOW_VOLATILITY,low-volume correction
AMBUJACEM.NS,2026-08-28,412.0499877929688,421.6549987792969,426.73399963378904,432.0830209350586,471.6783918762207,-0.022779312504618288,-0.03441022241823155,-0.046363851786485055,-0.12641750207395497,689.0543823242188,-0.40200657834422115,-0.3000513632303137,0.01476510067114094,33.12387442546738,0.7620276528954589,0.7957216830347226,-0.005910765276311736,-0.04662198946077378,-0.008287399541942575,-0.08377128058567829,-0.2770781911071656,0.21363233380194002,0.24827953639756012,DOWNTREND,NORMAL_VOLATILITY,normal
APOLLOHOSP.NS,2026-08-28,8838.5,8810.17451171875,8794.31458984375,8415.923999023438,7854.464243164062,0.0032150882191464003,0.005024315392046397,0.05021148016849919,0.12528362551174244,9039.4765625,-0.022233207986151027,-0.022233207986151027,0.6429530201342282,47.506665936505264,0.7524766262280386,0.9550358704550881,0.016737604969515596,-0.012081141732786294,0.06554146966300611,0.13752273553219552,0.136913656795838,0.23675609202267084,0.1668629315877258,STRONG_UPTREND,LOW_VOLATILITY,normal
ASIANPAINT.NS,2026-08-28,2608.699951171875,2693.55,2690.891982421875,2627.41265625,2592.1197338867187,-0.031501196869605286,-0.03054453013607228,-0.007122103577301364,0.006396393294801683,3312.629638671875,-0.21249875907716176,-0.11358158918342787,0.436241610738255,18.78044333588298,0.7256107166260569,0.49047139217934227,-0.0118560791015625,-0.05044956691766178,-0.02060775612102106,0.18485807963401824,0.06207775013443406,0.15528931526890152,0.170909656158072,CORRECTION,LOW_VOLATILITY,low-volume correction
AXISBANK.NS,2026-08-28,1265.0,1243.8550170898438,1280.8783251953125,1291.6279553222657,1287.6544757080078,0.016999555912575293,-0.012396435229623637,-0.020615809074542635,-0.017593598387914855,1401.9188232421875,-0.09766530056678913,-0.09766530056678913,0.41073825503355704,57.029374464305796,0.6774550871758748,0.5124817411660704,0.015411743794628618,0.028873525823505553,-0.004970882362825391,-0.017328614407819076,0.20557621812538462,0.18591489721766075,0.21131731887909905,DOWNTREND,NORMAL_VOLATILITY,normal
