ticker,current_price,3y_cagr,positive_rolling_1y_ratio,rolling_1y_above_15pct_ratio,max_drawdown,annualized_volatility,growth_score,current_drawdown,drawdown_percentile,rsi14,volume_ratio_20,return_20d,return_60d,return_252d,trend_regime,volatility_regime,price_volume_regime,opportunity_score,stock_quality_score,quality_class,opportunity_class
BHARTIARTL.NS,1882.4000244140625,0.3045675073949481,0.920892494929006,0.742393509127789,-0.1876819992503703,0.2101506306503364,90.48,-0.1186523376662419,0.123489932885906,40.11097082942069,0.9382207025442904,-0.0454360930963172,0.0599991737563572,0.0007300752250043,DOWNTREND,LOW_VOLATILITY,normal,61.27,81.72,Strong,Watch
BEL.NS,411.8999938964844,0.4620382425673182,0.9756592292089248,0.8600405679513184,-0.2689641082907944,0.3217348599796326,83.38,-0.1195236461274312,0.2630872483221476,60.769477396601474,0.7914176250107944,0.0634502218315249,0.0104340067693964,0.1321991885024707,DOWNTREND,LOW_VOLATILITY,normal,60.87,76.63,Good,Watch
APOLLOHOSP.NS,8838.5,0.2198788026096034,0.9168356997971604,0.4989858012170385,-0.1849718444748201,0.2114848139308089,77.28,-0.022233207986151,0.6429530201342282,47.506665936505264,0.7524766262280386,-0.0120811417327862,0.0655414696630061,0.136913656795838,STRONG_UPTREND,LOW_VOLATILITY,normal,66.91,74.17,Good,Interesting
BOSCHLTD.NS,48640.0,0.3941739073682886,0.8861788617886179,0.5650406504065041,-0.3251116812868215,0.2565911460164676,74.84,-0.0052152571837611,0.8373655913978495,83.15041962556488,0.5389519392899967,0.1916776725045459,0.31471743295272,0.2526564716503356,STRONG_UPTREND,LOW_VOLATILITY,low-volume correction,66.12,72.22,Good,Interesting
BAJFINANCE.NS,1079.9000244140625,0.1493664062424267,0.8032454361054767,0.5943204868154158,-0.267422209809627,0.2729828888733159,70.42,-0.0680876951065482,0.6281879194630873,37.48600849149275,0.7824889628897622,-0.0537153254299256,0.2216531757000894,0.2399867486798264,UPTREND,HIGH_VOLATILITY,low-volume correction,58.12,66.73,Average,Watch
ADANIPORTS.NS,1707.5,0.2892022484469638,0.6937119675456389,0.5476673427991886,-0.3377668944451003,0.3381060361944046,69.18,-0.093298617102523,0.4389261744966443,56.62831739518069,1.859866626638533,0.0064839375184202,-0.0600283715013577,0.3035548836618942,RECOVERY,LOW_VOLATILITY,high-volume decline,56.16,65.27,Average,Watch
BAJAJHLDNG.NS,11340.0,0.1735548502439801,0.6612576064908722,0.5841784989858012,-0.3948040488133902,0.3078569866295303,64.35,-0.2055567569949141,0.2335570469798657,45.44822793606672,0.7703952820436114,-0.0002644802962179,0.1256897929784952,-0.1122798399098409,CORRECTION,LOW_VOLATILITY,low-volume correction,65.41,64.67,Average,Interesting
BAJAJ-AUTO.NS,11910.0,0.3947261721624266,0.6308316430020284,0.486815415821501,-0.4231352617441185,0.2547509480347588,61.54,-0.0223183064240205,0.7879194630872484,60.300618921308576,1.1511869718173242,0.0338092964715073,0.151614774705086,0.3895889526912586,STRONG_UPTREND,NORMAL_VOLATILITY,normal,67.43,63.31,Average,Interesting
ADANIPOWER.NS,212.6300048828125,0.4892354792405375,0.640973630831643,0.592292089249493,-0.4995425852838964,0.4521138392968691,63.8,-0.145755486905003,0.574496644295302,53.57919509070863,0.8337456348157676,0.006246781219392,-0.0858555489969149,0.795558251736006,RECOVERY,LOW_VOLATILITY,low-volume correction,59.45,62.5,Average,Watch
BPCL.NS,319.25,0.2825728772466391,0.7849898580121704,0.4421906693711968,-0.3458877962326887,0.3083207210609504,61.5,-0.1778263970221508,0.2818791946308724,51.1415512388172,0.97625386117703,-0.0015637216575449,0.0822033898305085,0.0736486848471129,DOWNTREND,LOW_VOLATILITY,normal,61.97,61.64,Average,Watch
BAJAJFINSV.NS,2002.0,0.1017328047617238,0.744421906693712,0.4462474645030426,-0.2502986443382523,0.2360331599683733,52.73,-0.0794320408300499,0.4147651006711409,42.17354372055909,0.4251812741854363,-0.0133556630585004,0.1764375407349894,0.0413202056406867,UPTREND,NORMAL_VOLATILITY,low-volume correction,68.21,57.37,Weak,Interesting
ABB.NS,7509.0,0.2191416096618004,0.5294117647058824,0.4563894523326572,-0.4749908156716117,0.3329672012031267,45.41,-0.1463247531888687,0.6174496644295302,42.20743205768164,0.4042145224420694,0.0429540827575534,0.0599789374909145,0.5190106577660818,UPTREND,LOW_VOLATILITY,normal,65.55,51.45,Weak,Interesting
BANKBARODA.NS,241.8999938964844,0.1177235520527208,0.7281947261663286,0.4259634888438134,-0.3218422930689932,0.3077341242971811,47.98,-0.2303159377632668,0.0684563758389261,39.35134475295618,0.4794954330542947,-0.0028854583240714,-0.0826697660272826,0.0620226288351981,DOWNTREND,NORMAL_VOLATILITY,normal,59.12,51.32,Weak,Watch
AXISBANK.NS,1265.0,0.0859120363063357,0.7058823529411765,0.2616632860040568,-0.2802702909410405,0.2356362475545808,45.19,-0.0976653005667891,0.410738255033557,57.0293744643058,0.6774550871758748,0.0288735258235055,-0.0049708823628253,0.2055762181253846,DOWNTREND,NORMAL_VOLATILITY,normal,55.22,48.2,Weak,Watch
ADANIENSOL.NS,1581.4000244140625,0.2227292999712664,0.5233265720081136,0.4584178498985801,-0.5288974098156711,0.4800496835247789,41.1,-0.0919843554304012,0.785234899328859,42.93691160809372,0.7124221909110898,-0.038896316427849,0.0015199647967463,1.0051987262524764,SIDEWAYS,LOW_VOLATILITY,low-volume correction,50.08,43.79,Weak,Watch
RELIANCE.NS,1287.0,0.021528466544294,0.4726166328600406,0.2129817444219067,-0.2717575121316011,0.2084535317011106,23.38,-0.1879981722244817,0.1543624161073825,31.42854892713133,0.6842502928236999,-0.0159046093068762,-0.0030983733539891,-0.0663942710132493,DOWNTREND,LOW_VOLATILITY,normal,58.5,33.92,Weak,Watch
DMART.NS,3830.60009765625,0.0215785928893088,0.4361054766734279,0.0547667342799188,-0.3686392662717391,0.2665116109278158,18.06,-0.2895046863297195,0.1637583892617449,21.66412121076993,0.6077987140768665,-0.0230553181187834,-0.0756720435491902,-0.1878127010068239,CORRECTION,NORMAL_VOLATILITY,low-volume correction,54.39,28.96,Weak,Watch
ASIANPAINT.NS,2608.699951171875,-0.0614545482872278,0.40973630831643,0.178498985801217,-0.3687269461963126,0.2111539579754698,16.75,-0.2124987590771617,0.436241610738255,18.78044333588298,0.7256107166260569,-0.0504495669176617,-0.020607756121021,0.062077750134434,CORRECTION,LOW_VOLATILITY,low-volume correction,49.97,26.72,Weak,Weak
ADANIENT.NS,3168.5,0.0866596708352134,0.3164300202839756,0.2271805273833671,-0.517081161369822,0.3893761480911571,12.57,-0.1296267793938279,0.7463087248322148,73.35689112042678,0.4834000055739827,0.0528326964612062,0.0399306978683311,0.3952098016405803,UPTREND,LOW_VOLATILITY,low-volume correction,58.43,26.33,Weak,Watch
ADANIGREEN.NS,1311.0,0.1017959345040699,0.3995943204868154,0.3204868154158215,-0.628818444534607,0.4939952982906549,12.94,-0.3668349138713211,0.487248322147651,39.04006451362887,0.5272473252049955,-0.0520607375271149,-0.140722263907111,0.4077852348993289,CORRECTION,LOW_VOLATILITY,low-volume correction,49.85,24.01,Weak,Weak
AMBUJACEM.NS,412.0499877929688,-0.0169858306004933,0.3022312373225152,0.1359026369168357,-0.4290687062551315,0.2985219872345861,9.22,-0.4020065783442211,0.0147651006711409,33.12387442546738,0.7620276528954589,-0.0466219894607737,-0.0082873995419425,-0.2770781911071656,DOWNTREND,NORMAL_VOLATILITY,normal,57.04,23.57,Weak,Watch
