Date,Open,High,Low,Close,Adj Close,Volume
2023-08-28,7240.0,7364.75,7233.10009765625,7323.5498046875,7015.4462890625,15894
2023-08-29,7323.5498046875,7400.0,7296.0498046875,7369.9501953125,7059.89453125,12812
2023-08-30,7399.0,7425.0,7351.2998046875,7418.0,7105.9228515625,7628
2023-08-31,7410.4501953125,7494.0,7410.0,7437.7001953125,7124.794921875,56012
2023-09-01,7446.4501953125,7468.0,7306.7998046875,7340.7998046875,7031.970703125,16812
2023-09-04,7340.0498046875,7377.0,7202.85009765625,7226.64990234375,6922.62255859375,47769
2023-09-05,7280.0,7280.0,7140.89990234375,7176.7998046875,6874.8701171875,85742
2023-09-06,7200.0,7215.0,7162.10009765625,7191.0,6888.47265625,11332
2023-09-07,7200.0,7240.2998046875,7134.5,7193.64990234375,6891.01123046875,145744
2023-09-08,7228.9501953125,7232.5,7128.0,7141.7998046875,6841.34228515625,13932
2023-09-11,7141.7998046875,7199.85009765625,7132.9501953125,7185.2001953125,6882.9169921875,31984
2023-09-12,7212.0,7212.0,7042.2001953125,7133.0,6832.91259765625,154364
2023-09-13,7101.0498046875,7139.0,7019.0,7093.2001953125,6794.787109375,90976
2023-09-14,7097.7001953125,7146.75,7097.7001953125,7125.0498046875,6825.29736328125,13303
2023-09-15,7131.9501953125,7163.9501953125,6982.0498046875,7103.10009765625,6804.271484375,71560
2023-09-18,7194.9501953125,7254.39990234375,7152.39990234375,7229.89990234375,6925.73583984375,42353
2023-09-20,7253.9501953125,7273.9501953125,7186.35009765625,7230.7001953125,6926.5029296875,75653
2023-09-21,7241.7001953125,7385.5,7237.2998046875,7346.60009765625,7037.5263671875,45166
2023-09-22,7348.0,7419.0,7310.0498046875,7332.0498046875,7023.58935546875,21167
2023-09-25,7341.39990234375,7398.9501953125,7253.0,7280.25,6973.96875,142385
2023-09-26,7320.0,7450.0,7305.2998046875,7351.5,7042.22119140625,87105
2023-09-27,7400.0,7405.2001953125,7192.0,7303.89990234375,6996.623046875,39279
2023-09-28,7276.0,7339.9501953125,7020.0,7058.64990234375,6865.08203125,52319
2023-09-29,7060.9501953125,7140.89990234375,7001.0498046875,7108.5,6913.56494140625,33287
2023-10-03,7100.0,7100.0,6945.0,7014.25,6821.8994140625,33983
2023-10-04,7014.25,7014.2998046875,6801.0,6819.2998046875,6632.29541015625,31137
2023-10-05,6834.4501953125,6865.9501953125,6651.0,6672.0498046875,6489.0830078125,42162
2023-10-06,6750.0,6874.39990234375,6701.14990234375,6843.7001953125,6656.02685546875,41262
2023-10-09,6840.0,6879.7001953125,6800.0,6825.39990234375,6638.22802734375,15307
2023-10-10,6850.9501953125,6892.0,6785.9501953125,6821.39990234375,6634.337890625,17024
2023-10-11,6822.0,7097.9501953125,6822.0,6884.5,6695.70751953125,70547
2023-10-12,6916.35009765625,6978.7998046875,6761.0,6783.4501953125,6597.4287109375,29503
2023-10-13,6788.14990234375,6849.9501953125,6770.0,6838.85009765625,6651.30908203125,15812
2023-10-16,6838.85009765625,6863.39990234375,6791.35009765625,6850.25,6662.39697265625,25560
2023-10-17,6876.89990234375,6880.0,6790.14990234375,6840.5498046875,6652.96240234375,25456
2023-10-18,6870.0,6875.0,6822.7001953125,6865.0498046875,6676.791015625,30829
2023-10-19,6822.0,6889.0,6756.0,6861.14990234375,6672.99755859375,16188
2023-10-20,6861.14990234375,7120.0,6828.0,7055.39990234375,6861.9208984375,101039
2023-10-23,7080.0,7165.0,7008.75,7099.0498046875,6904.37353515625,53413
2023-10-25,7099.10009765625,7128.89990234375,6800.35009765625,6856.0,6667.9892578125,28693
2023-10-26,6770.0,6833.9501953125,6650.0,6667.64990234375,6484.80419921875,21099
2023-10-27,6766.9501953125,6839.0,6670.14990234375,6729.0,6544.4716796875,13991
2023-10-30,6790.0,6820.0,6627.89990234375,6794.2998046875,6607.98095703125,19034
2023-10-31,6811.5498046875,6949.89990234375,6805.5498046875,6926.4501953125,6736.5078125,19889
2023-11-01,6884.5,6924.60009765625,6711.0,6741.0,6556.14208984375,28739
2023-11-02,6776.5,6885.0,6776.5,6849.2998046875,6661.47265625,56156
2023-11-03,6860.0498046875,6984.89990234375,6851.14990234375,6922.2998046875,6732.47021484375,17745
2023-11-06,7026.35009765625,7034.0,6913.2998046875,7000.35009765625,6808.3798828125,31959
2023-11-07,7000.0,7097.60009765625,7000.0,7065.14990234375,6871.40380859375,28285
2023-11-08,7084.0,7135.25,7076.0,7130.5498046875,6935.01025390625,14575
2023-11-09,7120.0,7170.0,7050.0,7073.7998046875,6879.81591796875,17729
2023-11-10,7015.0498046875,7150.0,7015.0498046875,7138.60009765625,6942.83935546875,14493
2023-11-13,7134.0,7150.0,7052.0498046875,7126.2001953125,6930.77978515625,23008
