year,annual_return,start_date,end_date,trading_days,is_partial_year
2023,0.6319141979996192,2023-08-28,2023-12-29,84,True
2024,0.011848999958809392,2024-01-01,2024-12-31,246,False
2025,0.3575429887727013,2025-01-01,2025-12-31,249,False
2026,0.4293493730469422,2026-01-01,2026-08-28,166,True
