year,annual_return,start_date,end_date,trading_days,is_partial_year
2023,0.18696603083766883,2023-08-28,2023-12-29,84,True
2024,0.005834766368965072,2024-01-01,2024-12-31,246,False
2025,0.03673717814635613,2025-01-01,2025-12-31,249,False
2026,-0.26009193411370246,2026-01-01,2026-08-28,166,True
