Date,Open,High,Low,Close,Adj Close,Volume,Price,rolling_1y_return,running_max,drawdown,daily_return,rolling_volatility_30d,rolling_volatility_90d,sma50,sma200
2023-08-28,3264.949951171875,3272.0,3231.050048828125,3259.699951171875,3155.564453125,707315,3155.564453125,,3155.564453125,0.0,,,,,
2023-08-29,3261.0,3289.0,3255.050048828125,3285.699951171875,3180.73388671875,533163,3180.73388671875,,3180.73388671875,0.0,0.007976206465637015,,,,
2023-08-30,3301.300048828125,3302.85009765625,3276.39990234375,3294.699951171875,3189.446533203125,599080,3189.446533203125,,3189.446533203125,0.0,0.0027391937818987966,,,,
2023-08-31,3300.050048828125,3302.0,3220.0,3256.10009765625,3152.080078125,1601967,3152.080078125,,3189.446533203125,-0.011715654954277732,-0.011715654954277732,,,,
2023-09-01,3241.10009765625,3264.199951171875,3217.10009765625,3259.550048828125,3155.41943359375,650131,3155.41943359375,,3189.446533203125,-0.01066865340275891,0.0010594132718659832,,,,
2023-09-04,3259.550048828125,3266.25,3216.10009765625,3235.550048828125,3132.186279296875,696213,3132.186279296875,,3189.446533203125,-0.017953037716780362,-0.007362936936220366,,,,
2023-09-05,3245.0,3248.85009765625,3220.0,3223.300048828125,3120.32763671875,597022,3120.32763671875,,3189.446533203125,-0.021671125621585463,-0.0037860591678433586,,,,
2023-09-06,3209.0,3230.0,3195.0,3225.300048828125,3122.263916015625,754106,3122.263916015625,,3189.446533203125,-0.021064036185622803,0.0006205371750356292,,,,
2023-09-07,3225.300048828125,3253.75,3201.25,3246.35009765625,3142.64111328125,923108,3142.64111328125,,3189.446533203125,-0.014675091566707876,0.006526417309280053,,,,
2023-09-08,3250.550048828125,3263.050048828125,3232.0,3238.050048828125,3134.6064453125,395918,3134.6064453125,,3189.446533203125,-0.01719423333162129,-0.0025566609991813927,,,,
2023-09-11,3242.0,3265.0,3242.0,3259.39990234375,3155.274169921875,359345,3155.274169921875,,3189.446533203125,-0.01071419850607469,0.00659340334104197,,,,
2023-09-12,3260.0,3279.800048828125,3243.0,3256.85009765625,3152.8056640625,554905,3152.8056640625,,3189.446533203125,-0.01148815907687506,-0.0007823427462837484,,,,
2023-09-13,3245.0,3284.64990234375,3225.300048828125,3277.75,3173.0380859375,880907,3173.0380859375,,3189.446533203125,-0.005144606468491575,0.006417275287728952,,,,
2023-09-14,3282.0,3294.199951171875,3223.25,3240.25,3136.736328125,1102554,3136.736328125,,3189.446533203125,-0.016526442606701663,-0.011440694006600416,,,,
2023-09-15,3235.0,3240.0,3185.0,3196.64990234375,3094.528564453125,1568607,3094.528564453125,,3189.446533203125,-0.029760012516865997,-0.013455948876998858,,,,
2023-09-18,3200.0,3229.89990234375,3190.0,3206.300048828125,3103.870849609375,673602,3103.870849609375,,3189.446533203125,-0.026830888275718223,0.0030189687901300832,,,,
2023-09-20,3206.300048828125,3228.0,3195.0,3214.35009765625,3111.663330078125,901084,3111.663330078125,,3189.446533203125,-0.024387680531795297,0.002510568527595458,,,,
2023-09-21,3210.0,3261.199951171875,3180.550048828125,3244.199951171875,3140.56005859375,845739,3140.56005859375,,3189.446533203125,-0.015327573013201978,0.00928658580647257,,,,
2023-09-22,3234.949951171875,3283.60009765625,3221.14990234375,3274.85009765625,3170.23095703125,896521,3170.23095703125,,3189.446533203125,-0.006024736885172688,0.00944764560585587,,,,
2023-09-25,3272.300048828125,3334.800048828125,3271.14990234375,3323.25,3217.084716796875,1422084,3217.084716796875,,3217.084716796875,0.0,0.014779289080408597,,,,
2023-09-26,3323.0,3324.89990234375,3260.35009765625,3292.800048828125,3187.607177734375,834560,3187.607177734375,,3217.084716796875,-0.009162810947623945,-0.009162810947623945,,,,
2023-09-27,3288.0,3309.0,3271.699951171875,3301.800048828125,3196.31982421875,516326,3196.31982421875,,3217.084716796875,-0.006454568159087737,0.0027332873841021676,,,,
2023-09-28,3281.800048828125,3289.0,3155.0,3170.35009765625,3069.0693359375,2104381,3069.0693359375,,3217.084716796875,-0.04600916478405581,-0.03981156307233824,,,,
2023-09-29,3195.0,3195.0,3134.0,3161.050048828125,3060.06640625,1550585,3060.06640625,,3217.084716796875,-0.04880763932856946,-0.002933439652887393,,,,
2023-10-03,3166.10009765625,3227.800048828125,3162.0,3166.85009765625,3065.680908203125,1219145,3065.680908203125,,3217.084716796875,-0.04706242512149228,0.0018347647429015623,,,,
2023-10-04,3164.949951171875,3189.0,3151.35009765625,3169.89990234375,3068.633544921875,892584,3068.633544921875,,3217.084716796875,-0.04614462625118776,0.0009631259113920265,,,,
2023-10-05,3210.0,3232.10009765625,3174.300048828125,3206.25,3103.822265625,1002610,3103.822265625,,3217.084716796875,-0.03520654914075316,0.011467228063565038,,,,
2023-10-06,3214.75,3217.0,3190.0,3195.75,3093.657958984375,814257,3093.657958984375,,3217.084716796875,-0.03836602659795396,-0.003274770837620178,,,,
2023-10-09,3140.050048828125,3163.0,3132.699951171875,3152.800048828125,3052.080322265625,700012,3052.080322265625,,3217.084716796875,-0.05129003711644198,-0.013439635948765183,,,,
2023-10-10,3150.0,3164.89990234375,3140.050048828125,3151.5,3050.821533203125,847367,3050.821533203125,,3217.084716796875,-0.051681319651193935,-0.00041243641371979667,,,,
2023-10-11,3169.0,3185.0,3152.050048828125,3163.89990234375,3062.825439453125,1025317,3062.825439453125,,3217.084716796875,-0.04795002025850903,0.003934647149745452,0.16506101275935117,,,
2023-10-12,3186.0,3188.5,3150.050048828125,3159.10009765625,3058.1787109375,992531,3058.1787109375,,3217.084716796875,-0.04939441135314315,-0.0015171378870533214,0.16288328889577722,,,
2023-10-13,3150.0,3172.0,3128.25,3148.800048828125,3048.20751953125,854688,3048.20751953125,,3217.084716796875,-0.05249386078765417,-0.003260499908193215,0.1625318916114838,,,
2023-10-16,3124.0,3128.0,3096.10009765625,3112.050048828125,3012.631591796875,853011,3012.631591796875,,3217.084716796875,-0.06355229749857694,-0.011671097688206511,0.16250750342651368,,,
2023-10-17,3137.0,3137.0,3091.800048828125,3113.550048828125,3014.083740234375,792640,3014.083740234375,,3217.084716796875,-0.06310091105235804,0.0004820199195461061,0.16243844799803492,,,
2023-10-18,3110.0,3115.199951171875,3090.0,3096.449951171875,2997.530029296875,481985,2997.530029296875,,3217.084716796875,-0.06824647369516645,-0.005492120446598081,0.16193892066440377,,,
2023-10-19,3087.699951171875,3110.89990234375,3076.10009765625,3101.800048828125,3002.708984375,568124,3002.708984375,,3217.084716796875,-0.06663664506644407,0.0017277408491349622,0.16202519120332992,,,
2023-10-20,3092.5,3115.10009765625,3064.550048828125,3105.85009765625,3006.629638671875,711434,3006.629638671875,,3217.084716796875,-0.06541794719491933,0.0013057057201601996,0.1621053019558041,,,
2023-10-23,3096.050048828125,3108.89990234375,3064.0,3072.0,2973.861083984375,374476,2973.861083984375,,3217.084716796875,-0.07560373885791494,-0.010898766600988763,0.16274823379945788,,,
