year,annual_return,start_date,end_date,trading_days,is_partial_year
2023,0.3282876551923488,2023-08-28,2023-12-29,84,True
2024,0.33532907071724427,2024-01-01,2024-12-31,246,False
2025,0.3740418777472667,2025-01-01,2025-12-31,249,False
2026,-0.13956579639676792,2026-01-01,2026-08-28,166,True
