year,annual_return,start_date,end_date,trading_days,is_partial_year
2023,0.18595975211020965,2023-08-28,2023-12-29,84,True
2024,0.5760309369227306,2024-01-01,2024-12-31,246,False
2025,0.33057756474957434,2025-01-01,2025-12-31,249,False
2026,-0.09681078104447338,2026-01-01,2026-08-28,166,True
