year,annual_return,start_date,end_date,trading_days,is_partial_year
2023,0.21535623183059172,2023-08-28,2023-12-29,84,True
2024,0.05781854581520718,2024-01-01,2024-12-31,246,False
2025,0.26895587436775226,2025-01-01,2025-12-31,249,False
2026,-0.1696624619626651,2026-01-01,2026-08-28,166,True
